"Zeit" "Menge" "Distanz" "Ort" "Generation"
"53" 46.0364116130459 20 255 "Minneapolis" "alt"
"54" 67.46982039592 39 28 "Minneapolis" "neu"
"55" 91.5466514196662 42 434 "San Diego" "neu"
"56" 59.1917834689254 21 409 "Austin" "alt"
"57" 44.1791381689078 23 121 "San Diego" "neu"
"58" 30.0904034002342 9 189 "Minneapolis" "neu"
"59" 15.1980853557241 3 138 "Austin" "neu"
"60" 29.7816436200274 8 249 "San Diego" "alt"
"61" 61.7803236346918 28 263 "Austin" "alt"
"62" 82.1304100395398 43 121 "Austin" "alt"
"63" 11.5612684746627 3 62 "Boston" "neu"
"64" 10.7517374873084 5 71 "Boston" "neu"
"65" 67.5108316433873 27 324 "San Diego" "neu"
"66" 67.6081291321951 37 27 "San Diego" "neu"
"67" 36.4702404866952 16 214 "San Diego" "neu"
"68" 25.0795768741817 13 31 "Boston" "alt"
"69" 44.1231498570087 14 368 "Boston" "neu"
"70" 58.4108059368253 33 87 "Austin" "neu"
"71" 45.1519622460344 12 430 "Austin" "alt"
"72" 25.6076238740799 12 23 "Minneapolis" "alt"
"73" 65.6145766720192 34 143 "Minneapolis" "neu"
"74" 39.986421279812 9 293 "San Diego" "alt"
"75" 40.2801408139528 14 354 "Austin" "alt"
"76" 59.6179623766054 32 36 "Boston" "neu"
"77" 22.7147439099151 6 199 "Minneapolis" "alt"
"78" 42.0947137851366 21 32 "Boston" "neu"
"79" 42.9295262550128 18 191 "Boston" "alt"
"80" 58.8359254341098 23 446 "San Diego" "alt"
"81" 72.3601287933709 42 48 "Minneapolis" "alt"
"82" 24.6980778022141 11 67 "Minneapolis" "alt"
"83" 35.0249511699042 14 137 "Boston" "neu"
"84" 45.3355400316359 21 171 "Minneapolis" "neu"
"85" 75.8871163488961 43 76 "Austin" "neu"
"86" 63.5348146074524 36 93 "San Diego" "alt"
"87" 47.9522538700728 24 81 "Boston" "alt"
"88" 56.9228498003763 24 243 "Minneapolis" "alt"
"89" 67.2939844289257 40 34 "Minneapolis" "neu"
"90" 35.6669989001301 17 38 "San Diego" "alt"
"91" 25.4455629304702 11 164 "Minneapolis" "neu"
"92" 26.0601489762391 8 95 "San Diego" "alt"
"93" 30.9418702498216 17 31 "San Diego" "neu"
"94" 71.0134051359574 38 82 "Boston" "neu"
"95" 40.3164986160128 15 150 "Austin" "neu"
"96" 73.0261151827361 41 105 "Austin" "alt"
"97" 31.8015772476259 14 80 "Boston" "neu"
"98" 34.7997182961198 18 168 "Austin" "alt"
"99" 52.4810431489774 27 93 "Austin" "alt"
"100" 26.9717005242538 13 66 "San Diego" "neu"
"101" 10.1646944789729 3 191 "San Diego" "alt"
"102" 22.9583211905257 10 45 "San Diego" "alt"
"103" 47.1228724918843 25 38 "Boston" "alt"
"104" 28.2982246440294 13 30 "Minneapolis" "alt"
"105" 30.2241167117083 12 143 "San Diego" "neu"
"106" 67.0383232753134 30 343 "Minneapolis" "alt"
"107" 35.9119909956258 13 341 "Austin" "neu"
"108" 34.8685685985499 3 449 "Minneapolis" "neu"
"109" 64.2783731271509 31 177 "Boston" "alt"
"110" 5.71713007352053 4 58 "Minneapolis" "alt"
"111" 41.8989873992769 17 188 "Austin" "neu"
"112" 7.41500286287375 2 152 "Boston" "alt"
"113" 59.7138868490417 25 239 "Boston" "neu"
"114" 65.4329671815694 37 65 "Boston" "alt"
"115" 54.0398124727113 23 315 "San Diego" "neu"
"116" 58.7162630984388 34 25 "Boston" "alt"
